name,datetime,location,All Day
Bridges Mentorship Weekly Meetup,2025-04-23 17:00:00,Kimmel Room 375,False
Arts Committee Meeting,2025-04-23 17:30:00,Kimmel Room 211,False
PB Arts Meeting - Fashion Show Prep,2025-04-23 17:30:00,Kimmel Room 211,False
Art & Politics Talkback: Gallery Edition,2025-04-23 17:30:00,"80 Washington Square East, Ground Floor",False
General Meeting,2025-04-23 17:45:00,Leslie E-Lab,False
NYU Pre-Veterinary Society Welcome name!,2025-04-23 18:00:00,Silver Center for Arts and Science,False
WIBE Alumni Panel,2025-04-23 18:00:00,5MTC Rm 223.,False
NYU Hack Night: Final Projects Jam,2025-04-23 18:00:00,"CS Department Lounge, Warren Weaver Hall",False
Queer Union - Movie Night,2025-04-23 18:00:00,LGBTQ+ Center Lounge,False
FemSoc Weekly Meeting,2025-04-23 18:00:00,GCastle 369,False
Lectures Committee Meeting,2025-04-23 18:00:00,"PB Lounge, Kimmel Center Room 211",False
TASS Night Market,2025-04-23 18:00:00,NYU Global Center for Academic and Spiritual Life Grand Hall,False
Politics Society General Body Meeting,2025-04-23 18:00:00,Kimmel 804,False
ASME Senior Farewell,2025-04-23 18:00:00,370 Jay St. Rm. 1201,False
Orevwa Chérie!,2025-04-23 18:30:00,Kimmel 905,False
Weekly Writers Meeting,2025-04-23 18:30:00,Kimmel Center - Room 904,False
Finding Purpose,2025-04-23 18:30:00,Kimmel CTR 908,False
Wednesday Bible Study,2025-04-23 18:30:00,Neighborhood Church,False
Content Creator Showcase,2025-04-23 18:30:00,Pless Hall,False
Fireside Chat with Susan Sawyer,2025-04-23 18:30:00,"Kimmel Center, Room 907",False
MDA Chapter Meeting,2025-04-23 18:30:00,Kimmel Center,False
Marketing and Media Committee Meeting,2025-04-23 18:30:00,PB Lounge,False
NYU Salsa Club: Beginner Night,2025-04-23 19:00:00,Palladium Dance Studio,False
ICC Elections for '25-26 Academic Year,2025-04-23 19:00:00,Online,False
Generation Meditation Weekly Sits - Rejuvenate,2025-04-23 19:00:00,NYU's Global Center for Academic and Spiritual Life,False
Muslim Voices for Social Justice,2025-04-23 19:00:00,Kimmel Center,False
English Conversation Group Meeting,2025-04-23 19:15:00,GCASL 361,False
Spring Jazz Festival: Vocal Jazz Ensemble,2025-04-23 19:30:00,Frederick Loewe Theatre,False
Cross-Examination Debate Association - General Meeting,2025-04-23 19:30:00,Global Center for Academic and Spiritual Life,False
Steinhardt Open Mic Night,2025-04-23 20:00:00,Pless Hall Basement,False
